                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.79537,                0.59076,                0.95818,                0.89716,                0.90418,                0.92371,                0.70971,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.78791,                0.58527,                0.94943,                0.90726,                0.91783,                0.92618,                0.71206,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                 0.7752,                0.55601,                  0.957,                0.98187,                0.91399,                0.92606,                0.69644,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.74834,                0.52591,                0.93853,                0.97419,                 0.9158,                0.92351,                0.69746,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.73441,                0.51366,                0.93705,                0.97578,                0.91213,                0.92505,                0.70333,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                 0.7281,                0.50922,                0.93226,                0.97586,                0.89839,                0.95706,                0.73365,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                 0.7177,                0.50054,                0.93253,                0.98024,                 0.9106,                 0.9499,                0.73361,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.71729,                0.50499,                0.92933,                0.97871,                0.92311,                0.95015,                0.72539,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.71645,                0.49765,                0.92627,                0.98631,                0.92347,                0.94478,                0.72728,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.70254,                0.48975,                 0.9235,                 0.9794,                0.91398,                0.94406,                0.72409,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.70121,                0.48282,                0.92402,                0.96903,                 0.9086,                0.94239,                0.72489,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.70289,                0.49117,                0.92592,                0.97244,                0.91834,                0.94998,                0.73423,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
